Execution time,6657.66508102417
Selected Images,Cost,Cloud Coverage,Resolution,Incidence Angle
"[7, 15, 22]",2669540.0,235031759.313,237.5,28.898
"[7, 15, 22]",2669540.0,19857673.566,237.5,28.898
"[2, 7, 15, 22]",2886854.0,19856256.676,236.3,28.898
"[7, 12, 15, 22]",2972840.0,11352.626,211.6,29.522000000000013
"[2, 7, 12, 15, 22]",3190154.0,9935.736,210.4,29.521999999999995
"[2, 7, 12, 15, 22]",3190154.0,9935.736,210.4,29.522
"[2, 7, 12, 15, 22, 28]",3310754.0,9935.736,209.6,29.522
"[2, 7, 13, 15, 22]",3475130.0,9935.736,191.66,28.898
"[2, 7, 12, 15, 19, 22]",3566354.0,9935.736,183.15999945280004,29.522
"[2, 5, 7, 12, 15, 22]",3587954.0,9935.736,182.46,29.522
"[2, 7, 12, 15, 17, 22]",3640154.0,9935.736,173.75999999999993,29.522
"[2, 4, 7, 12, 15, 17, 22]",3640157.426865814,9935.736,173.75900000000007,29.522
"[2, 7, 12, 15, 17, 22, 28]",3760753.9999999995,9935.736,172.95999999999995,29.521999999999995
"[2, 5, 7, 13, 15, 22]",3872930.000000008,9935.736,172.37999999999852,28.897999999999996
"[2, 7, 13, 15, 17, 22]",3925130.0,9935.736,169.4200000000003,28.898
"[2, 7, 12, 15, 17, 19, 22]",4016354.0,9935.736,164.36,29.522
"[2, 7, 12, 15, 17, 19, 22, 28]",4136954.0,9935.736,163.55999999999912,29.522
"[2, 7, 11, 12, 15, 17, 19, 22]",4390754.0,9935.736,162.55999999999958,29.522
"[2, 7, 12, 15, 17, 19, 22, 23]",4471754.0,9935.736,162.1,29.522
"[2, 7, 11, 12, 15, 17, 19, 22, 28]",4511354.0,9935.736,161.76,29.522
"[2, 7, 12, 15, 17, 19, 22, 23, 28]",4592354.0,9935.736,161.3,29.521999999999995
"[2, 7, 12, 13, 15, 17, 19, 22]",4604630.0,9935.736,161.19999999999973,29.522
"[2, 7, 12, 13, 15, 17, 19, 22, 28]",4725230.0,9935.736,160.39999999999972,29.522
"[2, 7, 11, 12, 15, 17, 19, 22, 23]",4846154.0,9935.736,160.29999999999995,29.522
"[2, 7, 11, 12, 15, 17, 19, 22, 23, 28]",4966753.429041165,9935.736,159.5000027449151,29.521999999999995
"[2, 7, 11, 12, 13, 15, 17, 19, 22, 28]",5099630.0,9935.736,159.31999999999962,29.522
"[2, 7, 12, 13, 15, 17, 19, 22, 23, 28]",5180630.0,9935.736,159.0999999999998,29.522
"[2, 7, 11, 12, 13, 15, 17, 19, 21, 22, 28]",5429029.999999998,9935.736,158.92000000000013,29.521999999999995
"[2, 7, 11, 12, 13, 15, 17, 19, 22, 23]",5434429.889582392,9935.736,158.82,29.522
"[2, 7, 12, 13, 15, 17, 19, 21, 22, 23, 28]",5510030.0,9935.736,158.7,29.522
"[2, 7, 11, 12, 13, 15, 17, 19, 22, 23, 28]",5555029.344675162,9935.736,158.02000434710425,29.522
"[2, 7, 11, 12, 13, 15, 17, 19, 21, 22, 23, 28]",5884430.0,9935.736,157.6199999999999,29.522
"[2, 7, 9, 11, 12, 13, 15, 17, 19, 21, 22, 23, 28]",6260630.0,9935.736,157.55999999999963,29.522
"[2, 5, 7, 9, 11, 12, 13, 15, 17, 19, 21, 22, 23, 28]",6658430.0,9935.736,157.54,29.522
